State,YEAR,Number of factories
LADAKH,2016,22.22078888
LADAKH,2017,22.28640144
LADAKH,2018,21.8708552
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2011,3430
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2012,3298
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2013,3286
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2014,3285
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015,3224
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2016,3168
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,3100
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2018,3044
